feature,permutation_mean_drop,permutation_std
payment_method,0.09522176253567832,0.010114623503399735
price_inr,0.01116353381725543,0.006277655464077325
num_previous_returns,0.008884594968737291,0.0020237705521699446
product_category,0.008636311548932844,0.0058665025869634275
delivery_days,0.0033786302394715768,0.0036076948303662326
is_weekend_order,0.0011872820934308785,0.0008053251374268984
delivery_distance_km,0.0008105762151068914,0.0019912805569040543
discount_pct,-0.00015977070993259402,0.0023415082742268413
rating_given,-0.0005786254977194354,0.0021468025004516738
num_previous_orders,-0.0018250477797404222,0.0017568178500196286
customer_tenure_days,-0.004851602909855416,0.002138625403277088
